year,month,region,consumption_kWh
2020,Jan,Midwest,135553.11
2020,Jan,Southeast,59054.615
2020,Jan,Southwest,59054.615
2020,Jan,Northeast,110683.95
2020,Jan,West,57396.54
2020,Jan,Southwest,57396.54
2020,Feb,Midwest,129871.9
2020,Feb,Southeast,44712.185
2020,Feb,Southwest,44712.185
2020,Feb,Northeast,134573.35
2020,Feb,West,66169.94
2020,Feb,Southwest,66169.94
2020,Mar,Midwest,139892.86
2020,Mar,Southeast,57357.295
2020,Mar,Southwest,57357.295
2020,Mar,Northeast,125691.31
2020,Mar,West,52270.93
2020,Mar,Southwest,52270.93
2020,Apr,Midwest,106553.71
2020,Apr,Southeast,66613.29
2020,Apr,Southwest,66613.29
2020,Apr,Northeast,122568.92
2020,Apr,West,63074.62
2020,Apr,Southwest,63074.62
2020,May,Midwest,156345.63
2020,May,Southeast,50417.795
2020,May,Southwest,50417.795
2020,May,Northeast,134419.35
2020,May,West,62682.88
2020,May,Southwest,62682.88
2020,Jun,Midwest,114156.11
2020,Jun,Southeast,63852.79
2020,Jun,Southwest,63852.79
2020,Jun,Northeast,141272.83
2020,Jun,West,66268.77
2020,Jun,Southwest,66268.77
2020,Jul,Midwest,124534.2
2020,Jul,Southeast,56127.76
2020,Jul,Southwest,56127.76
2020,Jul,Northeast,124854.97
2020,Jul,West,56629.885
2020,Jul,Southwest,56629.885
2020,Aug,Midwest,113603.9
2020,Aug,Southeast,65604.22
2020,Aug,Southwest,65604.22
2020,Aug,Northeast,105055.32
2020,Aug,West,47458.63
2020,Aug,Southwest,47458.63
2020,Sep,Midwest,109300.33
2020,Sep,Southeast,56855.735
2020,Sep,Southwest,56855.735
2020,Sep,Northeast,105039.34
2020,Sep,West,65845.105
2020,Sep,Southwest,65845.105
2020,Oct,Midwest,92791.97
2020,Oct,Southeast,43086.45
2020,Oct,Southwest,43086.45
2020,Oct,Northeast,98826.9
2020,Oct,West,66036.255
2020,Oct,Southwest,66036.255
2020,Nov,Midwest,126532.02
2020,Nov,Southeast,55670.655
2020,Nov,Southwest,55670.655
2020,Nov,Northeast,115498.18
2020,Nov,West,68528.3
2020,Nov,Southwest,68528.3
2020,Dec,Midwest,107392.1
2020,Dec,Southeast,63380.905
2020,Dec,Southwest,63380.905
2020,Dec,Northeast,128531.29
2020,Dec,West,52518.27
2020,Dec,Southwest,52518.27
2021,Jan,Midwest,109538.11
2021,Jan,Southeast,74296.685
2021,Jan,Southwest,74296.685
